condition,numeric_only,pairwise_artifact,pantheon
clean,1.0,1.0,1.0
data_mismatch,0.0,1.0,1.0
environment_mismatch,0.0,1.0,1.0
hidden_contamination,0.0,0.0,1.0
implementation_mismatch,0.0,1.0,1.0
metric_mismatch,0.0,0.0,1.0
protocol_ambiguous,0.0,1.0,1.0
shared_bug,0.0,0.0,1.0
