family,role,model_or_method,count,mean,std,sum
public_case,proposer,sklearn_lbfgs,10,0.0041291834999582794,0.0011354904700729294,0.0412918349995828
public_case,replicator,numpy_batch_gd,10,0.151800629000013,0.01616548680168912,1.51800629000013
seeded_fault,proposer,canonical_OLS_or_fault_variant,40,0.003805772699990887,0.000810985615254826,0.15223090799963548
seeded_fault,replicator,canonical_OLS_or_fault_variant,160,0.0040507914125029205,0.0014656861993503267,0.6481266260004672
