split_seed,effect_proposer,effect_replicator,effect_abs_diff,accuracy_proposer,accuracy_replicator,auc_proposer,auc_replicator,direction_agreement
101,0.32867132867132864,0.3496503496503497,0.020979020979021046,0.958041958041958,0.9790209790209791,0.9865828092243187,0.9935010482180293,1
211,0.35664335664335667,0.36363636363636365,0.006993006993006978,0.986013986013986,0.993006993006993,0.9935010482180293,0.9972746331236897,1
307,0.3426573426573426,0.35664335664335667,0.013986013986014068,0.972027972027972,0.986013986013986,0.9853249475890985,0.9987421383647799,1
401,0.36363636363636365,0.36363636363636365,0.0,0.993006993006993,0.993006993006993,0.9993710691823899,0.99958071278826,1
503,0.3496503496503497,0.3496503496503497,0.0,0.9790209790209791,0.9790209790209791,0.9987421383647799,0.9981132075471698,1
601,0.3356643356643356,0.3426573426573426,0.006993006993006978,0.965034965034965,0.972027972027972,0.9853249475890986,0.9974842767295597,1
701,0.35664335664335667,0.3496503496503497,0.006993006993006978,0.986013986013986,0.9790209790209791,0.9838574423480084,0.9951781970649896,1
809,0.3356643356643356,0.3356643356643356,0.0,0.965034965034965,0.965034965034965,0.9861635220125786,0.9958071278825996,1
907,0.3426573426573426,0.3426573426573426,0.0,0.972027972027972,0.972027972027972,0.989937106918239,0.9890985324947589,1
1009,0.32167832167832167,0.3356643356643356,0.013986013986013957,0.951048951048951,0.965034965034965,0.9633123689727463,0.9834381551362683,1
