"name","n","IFmean","IFse","CTmean","CTse"
"LSE",6531,10.9425543673251,0.19609784518515,19.1397044862961,0.735276862205205
"Harvard",6211,18.6237540112703,0.269563216856251,54.3545403316696,2.29572251234193
"ANU",5625,4.61062091306667,0.122796104067619,6.32399111111111,0.332676659043116
"Oxford",5494,11.5125090143793,0.220318117659463,16.4564998179833,0.767594072665809
"UC Berkeley",4967,20.0748004181599,0.296912185076178,40.3798771894504,1.70704277838377
"PSE",4529,10.5892406604107,0.250346780139827,14.5931441819386,0.758971527901274
"Erasmus U",4435,6.8126624746336,0.167210823753781,8.79154678692221,0.3986094541948
"Monash",4335,9.46857431280277,0.177930378604501,12.6319792387543,0.540639264252913
"Columbia",4271,20.1766000899087,0.325325299510851,38.4998337625849,1.92255859470953
"Stanford",4271,22.1945575055022,0.38194945056327,43.4392203231093,2.17185038966303
"Chicago",4237,27.4002959874125,0.382777146856438,70.8034332467941,4.06356372413577
"MIT",4179,22.8585799902688,0.37217950949019,46.7940735423147,2.29743188409403
"Nottingham",4133,7.72570535978708,0.15900897888124,10.7202782482458,0.584371615878603
"Cornell",4115,11.7761349771567,0.245668404912114,17.501752126367,0.877502145223503
"Bocconi",3732,9.13754741371919,0.221410802090569,14.3978099321186,0.744375541314391
"Cambridge",3556,10.44180881018,0.277120013058252,13.7978543307087,1.20341791030044
"USC",3489,13.4463641946116,0.302232656937202,21.7740126110633,2.04439291542715
"Queensland",3268,6.20244959791922,0.165302674570829,9.2500305997552,0.89367291687776
"TSE",3224,13.4988992890819,0.330170129411841,16.7207071960298,0.90035796515302
"Tilburg",3206,8.86084637461011,0.206852387682532,12.202096069869,0.549452174420311
"Louvain",3168,7.10715288857323,0.229365762494539,8.64984848484849,0.672170553300664
"Yale",3159,19.9899807119342,0.382425018664627,30.2280056980057,1.41029895659393
"Maastricht",3063,5.31549637969311,0.157706632825389,6.16789422135162,0.400359700112645
"NYU",3058,21.3523684509483,0.377858502819568,45.6037508175278,3.03103696571153
"GMU",2960,5.274683875,0.178592636843147,7.1054527027027,0.471176042017753
