"","instname","n","IFmean","IFse","CTmean","CTse"
"319","Institute of Labor Economics (IZA)",23871,1.53571660324243,0.0247766099484953,2.21015039168866,0.0797484432861811
"440","National Bureau of Economic Research (NBER)",16067,5.71304701636896,0.0718282226552574,13.6817084707786,0.485838162042817
"129","CESifo",11096,1.21322599738645,0.0287674902896475,1.52942141312185,0.111336768337866
"117","Centre for Economic Policy Research (CEPR)",10978,2.16249871697941,0.0420457776874046,3.64171980324285,0.148413889783351
"388","London School of Economics (LSE)",6531,10.9425543673251,0.19609784518515,19.1397044862961,0.735276862205205
"263","German Institute for Economic Research (DIW)",6377,2.18618844660499,0.0655920954385049,3.92958444409597,0.220775319467439
"280","Harvard University",6211,18.6237540112703,0.269563216856251,54.3545403316696,2.29572251234193
"298","Ifo Institute for Economic Research at the University of Munich",5972,2.03686848693905,0.0758195882509704,3.1640639651708,0.186507154472433
"37","Australian National University",5625,4.61062091306667,0.122796104067619,6.32399111111111,0.332676659043116
"503","Oxford University",5494,11.5125090143793,0.220318117659463,16.4564998179833,0.767594072665809
"717","University of California-Berkeley",4967,20.0748004181599,0.296912185076178,40.3798771894504,1.70704277838377
"508","Paris School of Economics",4529,10.5892406604107,0.250346780139827,14.5931441819386,0.758971527901274
"217","Erasmus University of Rotterdam",4435,6.8126624746336,0.167210823753781,8.79154678692221,0.3986094541948
"78","Bucharest Academy of Economic Studies",4377,0.421434725611149,0.0109701150450697,0.777964359150103,0.0437235197241075
"426","Monash University",4335,9.46857431280277,0.177930378604501,12.6319792387543,0.540639264252913
"159","Columbia University",4271,20.1766000899087,0.325325299510851,38.4998337625849,1.92255859470953
"605","Stanford University",4271,22.1945575055022,0.38194945056327,43.4392203231093,2.17185038966303
"330","International Monetary Fund (IMF)",4264,12.9227683203565,0.219597224660766,21.9615595684803,0.939353044230673
"737","University of Chicago",4237,27.4002959874125,0.382777146856438,70.8034332467941,4.06356372413577
"408","Massachusetts Institute of Technology (MIT)",4179,22.8585799902688,0.37217950949019,46.7940735423147,2.29743188409403
"914","University of Nottingham",4133,7.72570535978708,0.15900897888124,10.7202782482458,0.584371615878603
"168","Cornell University",4115,11.7761349771567,0.245668404912114,17.501752126367,0.877502145223503
"643","Tinbergen Institute",4076,3.89165227772326,0.105334539985855,4.44241903827282,0.194323514403832
"455","National Research University Higher School of Economics",3909,2.8352083637759,0.0933250408153701,3.04704528012279,0.174133058319829
"252","Gaidar Institute for Economic Policy",3740,0.293488751069519,0.0123820048417921,0.702882352941177,0.0326019593370031
"62","Bocconi University",3732,9.13754741371919,0.221410802090569,14.3978099321186,0.744375541314391
"726","University of Cambridge",3556,10.44180881018,0.277120013058252,13.7978543307087,1.20341791030044
"983","University of Southern California",3489,13.4463641946116,0.302232656937202,21.7740126110633,2.04439291542715
"564","Russian Presidential Academy of National Economy and Public Administration (RANEPA)",3476,0.336397449079402,0.0227370660557492,0.654018987341772,0.05741751804308
"556","Romanian Academy",3422,0.495495025715956,0.0192589323647081,0.585169491525424,0.0349843356948938
"954","University of Queensland",3268,6.20244959791922,0.165302674570829,9.2500305997552,0.89367291687776
"651","Toulouse School of Economics (TSE)",3224,13.4988992890819,0.330170129411841,16.7207071960298,0.90035796515302
"642","Tilburg University",3206,8.86084637461011,0.206852387682532,12.202096069869,0.549452174420311
"97","Catholic University of Louvain-la-Neuve",3168,7.10715288857323,0.229365762494539,8.64984848484849,0.672170553300664
"1112","Yale University",3159,19.9899807119342,0.382425018664627,30.2280056980057,1.41029895659393
"401","Maastricht University",3063,5.31549637969311,0.157706632825389,6.16789422135162,0.400359700112645
"469","New York University (NYU)",3058,21.3523684509483,0.377858502819568,45.6037508175278,3.03103696571153
"254","George Mason University",2960,5.274683875,0.178592636843147,7.1054527027027,0.471176042017753
"667","University College London (UCL)",2953,11.6244856407044,0.320734819865575,18.6473620047409,2.45296478064933
"39","Austrian Institute of Economic Research",2920,1.24857347157534,0.0556386572088085,1.88899657534247,0.110242497056387
"417","Michigan State University",2784,12.5779881368534,0.30571411310472,20.7244576149425,1.83900072228308
"1063","University of Wisconsin-Madison",2764,13.9463719569465,0.347257628761477,23.1318885672938,2.08971354741338
"1091","VU University Amsterdam",2758,7.2030716555475,0.187789261285888,8.57434735315446,0.369289366627143
"226","Federal Institute of Technology Zurich",2757,3.78541390351832,0.118144026133142,4.66316285817918,0.232877279230223
"222","European Commission",2742,5.70773531692195,0.146854946209056,7.3607950401167,0.328639508993436
"940","University of Pennsylvania",2738,21.4557199506939,0.417740918677991,36.9685390796202,1.66534969698897
"1036","University of Turin",2693,4.90524953100631,0.149088673613467,6.00046787968808,0.354658322537467
"47","Barcelona School of Economics (BSE)",2684,14.3420498491058,0.332904918476586,20.846412071535,1.42440017355098
"530","Princeton University",2663,18.6738812459632,0.413807299664171,46.0677506571536,3.84227959789047
"580","Sciences Po",2641,6.14274727224536,0.265395609885685,8.48848163574404,0.573753584785393
"561","Royal University of Groningen",2628,7.16998887709285,0.183343855293939,12.1740410958904,0.765919636015282
"325","International Food Policy Research Institute (IFPRI)",2546,7.21201802670856,0.154317765296886,12.4607305577376,0.462638020319148
"221","European Central Bank",2480,12.5551864310484,0.29354468807098,22.4485362903226,1.24090347324534
"813","University of Illinois at Urbana-Champaign",2430,8.99645784197531,0.244520553636096,11.3964650205761,0.792134309011629
"838","University of Leuven",2381,6.95959285258295,0.2230241366892,10.1926669466611,0.530870998838299
"703","University of Bologna",2355,8.86312147176221,0.219550244104394,8.69391507430998,0.424617560491827
